PollTaker,LastEdit,Radiobuttons,Checkboxen,Textfrage Single Line,Textfrage Multiline,Rangefrage,Sliderfrage nach Gefühl,Sliderfrage nach Wert

2,2020-07-05 19:54:22,1 ,3 1 ,Hallo ,Das ist ein langer Text ,2 ,0.85 ,1747 ,
4,2020-07-05 19:54:22,0 ,4 1 ,Hallo ,Das ist ein langer Text ,7 ,0.06 ,356 ,
6,2020-07-05 19:54:23,1 ,1 0 ,Hallo ,Das ist ein langer Text ,1 ,0.24 ,987 ,
8,2020-07-05 19:54:24,0 ,0 1 ,Hallo ,Das ist ein langer Text ,5 ,0.08 ,961 ,
10,2020-07-05 19:54:24,3 ,0 0 ,Hallo ,Das ist ein langer Text ,4 ,0.37 ,2837 ,
12,2020-07-05 19:54:24,2 ,0 0 ,Hallo ,Das ist ein langer Text ,3 ,0.7 ,4982 ,
14,2020-07-05 19:54:25,1 ,4 1 ,Hallo ,Das ist ein langer Text ,7 ,0.45 ,2429 ,
16,2020-07-05 19:54:25,1 ,0 3 ,Hallo ,Das ist ein langer Text ,2 ,0.24 ,4052 ,
18,2020-07-05 19:54:26,3 ,0 2 ,Hallo ,Das ist ein langer Text ,5 ,0.31 ,1633 ,
20,2020-07-05 19:54:26,1 ,1 3 ,Hallo ,Das ist ein langer Text ,3 ,0.82 ,4391 ,
22,2020-07-05 19:54:26,0 ,3 3 ,Hallo ,Das ist ein langer Text ,1 ,0.08 ,2954 ,
24,2020-07-05 19:54:27,0 ,1 1 ,Hallo ,Das ist ein langer Text ,4 ,0.78 ,1013 ,
26,2020-07-05 19:54:27,3 ,0 2 ,Hallo ,Das ist ein langer Text ,4 ,0.25 ,4597 ,
28,2020-07-05 19:54:28,0 ,4 3 ,Hallo ,Das ist ein langer Text ,2 ,0.39 ,4393 ,
30,2020-07-05 19:54:28,2 ,4 3 ,Hallo ,Das ist ein langer Text ,2 ,0.21 ,349 ,
32,2020-07-05 19:54:29,3 ,3 2 ,Hallo ,Das ist ein langer Text ,7 ,0.22 ,3929 ,
34,2020-07-05 19:54:29,3 ,3 1 ,Hallo ,Das ist ein langer Text ,0 ,0.37 ,4180 ,
36,2020-07-05 19:54:29,0 ,4 1 ,Hallo ,Das ist ein langer Text ,7 ,0.38 ,1586 ,
38,2020-07-05 19:54:30,3 ,2 1 ,Hallo ,Das ist ein langer Text ,3 ,0.51 ,4731 ,
40,2020-07-05 19:54:30,2 ,0 1 ,Hallo ,Das ist ein langer Text ,1 ,0.96 ,982 ,
42,2020-07-05 19:54:31,0 ,1 2 ,Hallo ,Das ist ein langer Text ,7 ,0.22 ,4926 ,
44,2020-07-05 19:54:31,1 ,1 0 ,Hallo ,Das ist ein langer Text ,7 ,0.05 ,2975 ,
46,2020-07-05 19:54:32,0 ,3 3 ,Hallo ,Das ist ein langer Text ,2 ,0.58 ,1070 ,
48,2020-07-05 19:54:32,1 ,4 3 ,Hallo ,Das ist ein langer Text ,3 ,0.15 ,4684 ,
50,2020-07-05 19:54:33,3 ,2 2 ,Hallo ,Das ist ein langer Text ,7 ,0.19 ,3639 ,
